Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
SAN CARLOS;0;299.2;663.2;5220;981;343.2;0;1260;0;5829;0;296;0;343.2;0;844;2905.2;3602;0;0;5627;6828.2;11795.8
ÑIQUEN;0;299;175.6;116;0;57.2;0;0;0;347;969;0;0;57.2;0;312.2;892;1855;0;0;2073.6;1301.4;3188.2
CUNCO;0;0;1472.6;253.4;979;477.2;0;0;0;472;740.6;275;0;25.2;0;827.8;1413.8;428;127.2;0;2668.4;3131.4;2077.8
COLINA;0;0;985.2;3515;4431.6;680;413.6;0;1035;3217;4587;2259.6;413.6;1815;413.6;3640;1908;3626;0;0;16384;14598.4;11371.6
SIERRA GORDA;16;0;29.4;8.4;31;15;0;0;0;32;25.8;31;0;10;0;5.6;38;341.6;130;0;56;250.8;112.8
ARICA;2966;0;6293.2;374;3149.4;4372.2;671.7333333;0;0;6852;5252.4;6960.4;5393.733333;5293.2;1400.733333;1776.8;4210;5989;3530;0;20777;10424.2;6656.4
ALTO HOSPICIO;1652.6;0;1453.8;605.8;1455;935;91.73333333;0;0;1340;4748.8;3639.2;245.7333333;718;266.7333333;1833.6;2248.6;1327.2;3390.2;0;5429.2;5882.8;1499
CAUQUENES;0;0;451;0;2523;0;0;493;0;722;2821;0;0;0;0;1579.8;2928.6;2459.4;631.8;0;4329.6;10538.2;6492.8
PAILLACO;0;0;0;281.2;1573.2;1054;0;0;0;2802.2;1269.4;194;0;0;0;238.2;745.2;3488;0;0;2300.2;3641;496.4
COINCO;0;0;90;0;991.6;67.4;0;0;0;167.2;299;243;0;8.4;0;1043.4;322.8;937.4;0;0;1150;1161.6;1390.4
MARIA ELENA;0;0;0;0;48;224.4;0;0;0;54.4;68;207;0;172.4;0;32;112;299.6;0;0;28;958.8;581
BULNES;0;235.2;98.8;72;492;56.6;0;0;156;1240.6;1591.4;235;0;160.6;0;2802.6;1476;1665.2;371.8;0;1384.4;2595.4;5957
LOLOL;0;540;155.8;65.6;397;346.4;0;727;0;370;474;417;0;54.4;0;408;658.8;577.6;67;0;422;1196.6;685.2
QUINTA DE TILCOCO;0;0;210.4;0;1083.6;74.6;0;0;0;389.6;1299.8;262;0;11.6;0;2294.6;1826.4;327.2;0;0;735.8;2141.2;1382
VICUÑA;175.6;183.4;392.4;919.2;1934.2;508.4;0;463;0;819.6;891.8;423.6;0;242.4;0;602.6;630.8;1744.4;495.4;0;929;1970.8;3067.8
COLLIPULLI;0;248;810;252.4;906;0;0;0;0;1547;234;0;0;0;0;1295.8;1139.4;2632;923.6;0;3275.8;4166.4;1774.4
CASABLANCA;0;0;47.2;476.8;4267.2;251.6;71.2;0;0;503;1160.8;451;71.2;251.6;209.2;309.4;738.8;870.6;329.6;0;2079.6;2571;2416.8
PAREDONES;0;0;554;126;348;451.4;0;0;0;171;642;39.2;0;78.4;0;267;900;196;319.2;0;467;1216.2;1898
TOCOPILLA;0;0;121;0;1109.2;3318.4;0;0;0;709.6;1451.2;120;0;1110.4;0;1319.6;246.4;287.8;1412;0;284;1350.2;943.8
MAIPU;1957;0;9082;6105;113145;3476.2;1420;0;13184.6;29925;17750;12519.2;7409;16191.2;1420;5504;7245.8;7923;4495.4;0;61416.4;22164.4;22937
SAN PEDRO DE LA PAZ;0;1754.2;2744.8;7281.2;6446.2;5134.4;0;0;0;4777.8;3375;1851;0;1177.4;0;3451.4;2828.4;4892;14714.2;0;15822.4;7707;4932.6
LA SERENA;2477;2057.4;4336;2307.8;10171.2;2436;508.5333333;0;0;12296;8444.4;6077.8;508.5333333;1352;508.5333333;2343.6;6281.6;7641.4;4408.4;0;17639.8;14718.2;12669.2
SAN BERNARDO;2080;0;3620;3007.8;12950;2730;0;0;7444.8;11375;5322.2;10099;5078;2154;0;1894;6230.4;25506;9369;0;32834.6;13684.4;13227.6
PUCON;0;176;808.6;756;3001.4;320.6;0;597;0;1257;647.6;2220;0;438.6;0;756.8;951.6;500;780;0;3680.6;6942.8;1321
