;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
247;TALAGANTE;0.0;0.0;0.0;2520.4;6377.4;0.0;0.0;0;2188.2;3492.8;1821.0;928.0;0.0;994.0;0.0;139.0;2375.0;11940.0;1734.0;0.0;9501.2;1316.4;8474.2;4989;8106
248;CUREPTO;28.2;59.8;1081.0;64.8;95.0;331.0;0.0;0;0.0;52.0;399.8;206.6;0.0;0.0;0.0;2125.6;1057.0;373.8;66.0;0.0;517.8;1439.4;1406.4;1013;728
249;ANCUD;0.0;735.0;0.0;0.0;1912.0;1821.6;0.0;0;0.0;1260.0;2476.0;0.0;0.0;2207.6;0.0;1906.0;1476.0;3846.2;2045.2;0.0;4008.2;3846.8;5588.8;3815;3972
250;COLLIPULLI;0.0;253.0;691.0;259.2;909.2;0.0;0.0;0;0.0;1589.0;229.4;0.0;0.0;0.0;0.0;1340.4;1109.4;2719.0;923.8000000000001;0.0;3290.4;3654.4;1730.6;1681;1763
251;CHEPICA;0.0;0.0;235.60000000000002;263.2;127.0;228.0;0.0;0;0.0;498.0;371.0;393.0;0.0;66.0;0.0;95.0;1123.2;2401.8;335.6;0.0;1903.0;1084.4;3837.0;1494;1166
252;LUMACO;0.0;0.0;38.0;1361.2;557.6;202.0;0.0;0;0.0;6.0;273.8;0.0;0.0;0.0;0.0;678.4;573.8;397.0;49.6;0.0;1664.2;643.8000000000001;850.6;567;400
253;SAN RAFAEL;71.80000000000001;45.6;924.4;206.0;201.0;518.0;0.0;0;0.0;163.6;1964.4;159.0;0.0;0.0;0.0;440.0;644.4000000000001;90.6;920.6;0.0;709.2;1199.6;686.2;831;940
254;EL TABO;0.0;0.0;0.0;91.2;989.0;88.0;68.26666666666667;0;0.0;720.0;881.0;512.0;68.26666666666667;88.0;185.26666666666665;420.0;1283.0;1164.0;182.4;0.0;1952.0;1596.0;1593.0;878;1660
255;QUIRIHUE;0.0;41.0;0.0;228.0;0.0;647.2;0.0;1009;200.2;107.0;1245.4;78.0;0.0;5.2;0.0;17.6;2599.6000000000004;717.2;58.0;0.0;85.0;914.6;1909.8;593;482
256;COYHAIQUE;0.0;0.0;1123.0;0.0;0.0;1236.0;0.0;0;0.0;4047.8;4083.0;0.0;0.0;0.0;0.0;2057.6;2647.0;3823.0;1691.0;0.0;3870.6000000000004;5967.4;6277.2;4259;5060
